Title: Low Resolution Spectral Templates for AGNs and Galaxies 
       from 0.03 - 30 microns 
Authors: Assef R.J., Kochanek C.S., Brodwin M., Cool R., Forman W., 
         Gonzalez A.H., Hickox R.C., Jones C., Le Floch E., Moustakas J., 
         Murray S.S., Stern D. 
Table: SED Templates
================================================================================
Byte-by-byte Description of file: apj332219t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units         Label Explanations
--------------------------------------------------------------------------------
   1-  7 F7.4   um            Wave  Wavlength (1)
   9- 16 F8.4   10-11mW/m2/Hz AGN   Standard AGN template; 10^-11 erg/s/cm^2/Hz
  18- 26 F9.4   10-14mW/m2/Hz AGN2  AGN 2 template; 10^-14 erg/s/cm^2/Hz (2)
  28- 37 F10.4  10-16mW/m2/Hz E     E galaxy template; 10^-16 erg/s/cm^2/Hz
  39- 50 F12.4  10-17mW/m2/Hz Sbc   Sbc galaxy template; 10^-17 erg/s/cm^2/Hz
  52- 61 F10.4  10-15mW/m2/Hz Im    Im galaxy template; 10^-15 erg/s/cm^2/Hz
--------------------------------------------------------------------------------
Note (1): All templates are normalized to be at a distance of 10 pc and to 
          have an integrated luminosity between the wavelength boundaries of 
          10^10 L_sun_.
Note (2): Derived by using the Richards et al. (2006) SED as a starting point.
--------------------------------------------------------------------------------
 0.5397   0.5669  105.0980 10902.7364   56564.6007  4328.9439 
 0.5523   0.5664  105.3148 11515.7200   60475.7116  4439.3317 
 0.5651   0.5670  105.8082 12224.5370   63199.6125  4514.6700 
 0.5783   0.5687  107.2095 12606.8743   65289.7608  4633.0173 
 0.5918   0.5714  109.5030 13154.0825   67957.3351  4774.1363 
 0.6056   0.5799  111.9675 14654.5134   71402.7476  4882.2267 
 0.6197   0.6476  114.4352 14906.4192   75216.7248  4964.4763 
 0.6341   0.8746  116.6722 14911.7242   79005.4929  5033.4270 
 0.6489   1.0383  118.4188 16114.4131   82726.9252  5099.2366 
 0.6640   0.8636  119.4642 17104.4577   86323.2376  5156.4566 
 0.6794   0.6384  119.7604 17678.6073   89754.1352  5208.7420 
 0.6953   0.5789  118.7970 18606.7356   93030.7256  5258.4090 
 0.7115   0.5716  116.7919 18666.5603   96295.6567  5296.9177 
 0.7280   0.5673  115.2771 19671.6670   99606.9490  5335.4265 
 0.7450   0.5634  114.4152 21961.6797  102964.0903  5376.2966 
 0.7623   0.5605  113.7345 22270.7590  106460.6102  5413.4399 
 0.7801   0.5591  113.3542 21918.4464  110153.1899  5457.9018 
 0.7983   0.5593  112.6840 22260.9513  114036.7284  5504.4503 
 0.8169   0.5612  111.7693 24417.3676  118237.0349  5554.4958 
 0.8359   0.5648  111.9090 25399.7689  122861.9372  5612.7074 
 0.8554   0.5701  113.0979 25450.7689  127668.0888  5679.3777 
 0.8753   0.5772  114.7459 28230.4483  132784.3910  5751.4785 
 0.8957   0.5861  116.8585 29250.8020  138191.3265  5828.7754 
 0.9165   0.5967  119.3710 30848.6201  143821.9925  5905.4864 
 0.9379   0.6091  122.2437 30265.9103  149732.3612  5984.1217 
 0.9597   0.6232  125.4263 31511.6649  155881.2907  6074.7265 
 0.9821   0.6389  128.8245 33082.4842  162325.5209  6179.3423 
