# GD50  03:48:50.06 -00:58:30.4  (type DA2)
 1672.40   12.255   1.20
 1673.60   12.306   1.20
 1674.80   12.297   1.20
 1676.00   12.246   1.20
 1677.20   12.230   1.20
 1678.40   12.266   1.20
 1679.60   12.303   1.20
 1680.80   12.279   1.20
 1682.00   12.273   1.00
 1683.00   12.254   1.20
 1684.20   12.254   1.20
 1685.40   12.265   1.20
 1686.60   12.269   1.20
 1687.80   12.212   1.20
 1689.00   12.221   1.20
 1690.20   12.238   1.20
 1691.40   12.257   1.20
 1692.60   12.256   1.20
 1693.80   12.270   1.00
 1694.80   12.260   1.20
 1696.00   12.246   1.20
 1697.20   12.206   1.20
 1698.40   12.223   1.20
 1699.60   12.223   1.20
 1700.80   12.231   1.20
 1702.00   12.219   1.20
 1703.20   12.242   1.20
 1704.40   12.272   1.20
 1705.60   12.272   1.00
 1706.60   12.278   1.20
 1707.80   12.286   1.20
 1709.00   12.259   1.20
 1710.20   12.257   1.20
 1711.40   12.247   1.20
 1712.60   12.252   1.20
 1713.80   12.272   1.20
 1715.00   12.244   1.20
 1716.20   12.240   1.20
 1717.40   12.263   1.00
 1718.40   12.257   1.20
 1719.60   12.263   1.20
 1720.80   12.256   1.20
 1722.00   12.247   1.20
 1723.20   12.280   1.20
 1724.40   12.301   1.20
 1725.60   12.318   1.20
 1726.80   12.335   1.20
 1728.00   12.303   1.00
 1729.00   12.297   1.20
 1730.20   12.297   1.20
 1731.40   12.252   1.20
 1732.60   12.244   1.20
 1733.80   12.268   1.20
 1735.00   12.284   1.20
 1736.20   12.249   1.20
 1737.40   12.264   1.20
 1738.60   12.274   1.20
 1739.80   12.273   1.00
 1740.80   12.254   1.20
 1742.00   12.274   1.20
 1743.20   12.278   1.20
 1744.40   12.280   1.20
 1745.60   12.243   1.20
 1746.80   12.209   1.20
 1748.00   12.251   1.20
 1749.20   12.277   1.20
 1750.40   12.277   1.20
 1751.60   12.284   1.00
 1752.60   12.270   1.20
 1753.80   12.263   1.20
 1755.00   12.279   1.20
 1756.20   12.278   1.20
 1757.40   12.265   1.20
 1758.60   12.247   1.20
 1759.80   12.286   1.20
 1761.00   12.283   1.20
 1762.20   12.248   1.20
 1763.40   12.234   1.00
 1764.40   12.248   1.20
 1765.60   12.251   1.20
 1766.80   12.234   1.20
 1768.00   12.239   1.20
 1769.20   12.251   1.20
 1770.40   12.249   1.20
 1771.60   12.267   1.20
 1772.80   12.290   1.20
 1774.00   12.280   1.20
 1775.20   12.273   1.00
 1776.20   12.279   1.20
